CAD Net,X1 (in),Y1 (in),X2 (in),Y2 (in),Width (in),Layer,Xarc (in),Yarc (in),Radius (in)
VDD,31.015369,16.197661,31.047431,16.229724,0.01,"Top Layer",,,
VDD,30.475182,16.539704,30.475182,16.647784,0.01,"Top Layer",,,
VDD,30.475182,16.539704,30.556351,16.458535,0.01,"Top Layer",,,
VDD,30.556351,16.458535,30.556351,16.458535,0.01,"Top Layer",,,
VDD,30.445763,16.677203,30.475182,16.647784,0.01,"Top Layer",,,
VDD,30.445763,16.677203,30.445763,16.677203,0.01,"Top Layer",,,
3V3,32.340554,16.59628,32.340554,16.662915,0.011811,"Top Layer",,,
3V3,32.340554,16.662915,32.340906,16.663267,0.011811,"Top Layer",,,
SENSOR-5V-FB,32.316929,17.223479,32.316929,17.294042,0.01,"Top Layer",,,
SENSOR-5V-FB,32.316929,17.223479,32.318746,17.221662,0.01,"Top Layer",,,
AUX1-IN,32.377702,17.29307,32.379789,17.295157,0.007874,"Top Layer",,,
AUX1-IN,32.377702,17.226942,32.377702,17.29307,0.007874,"Top Layer",,,
SENSOR2-IN,32.832496,16.431963,32.959574,16.304885,0.007874,"Top Layer",,,
SENSOR2-IN,32.607934,16.431963,32.832496,16.431963,0.007874,"Top Layer",,,
SENSOR2-IN,32.566529,16.390558,32.607934,16.431963,0.007874,"Top Layer",,,
SENSOR7,32.144737,16.014859,32.525866,16.014859,0.009842,"Top Layer",,,
SENSOR7,32.551536,15.941771,32.551536,15.989189,0.009842,"Top Layer",,,
SENSOR7,32.525866,16.014859,32.551536,15.989189,0.009842,"Top Layer",,,
SENSOR4,32.551536,16.100843,32.551536,16.17311,0.009842,"Top Layer",,,
SENSOR4,32.520669,16.069977,32.551536,16.100843,0.009842,"Top Layer",,,
SENSOR4,32.551536,16.17311,32.577126,16.17311,0.009842,"Top Layer",,,
SENSOR5,31.963465,16.050291,32.666693,16.050291,0.009842,"Top Layer",,,
SENSOR5,32.705079,16.088677,32.705079,16.17311,0.009842,"Top Layer",,,
SENSOR5,32.666693,16.050291,32.705079,16.088677,0.009842,"Top Layer",,,
SENSOR6,32.137398,16.032575,32.670881,16.032575,0.009842,"Top Layer",,,
SENSOR6,32.670881,16.032575,32.705079,15.998377,0.009842,"Top Layer",,,
SENSOR6,32.705079,15.941771,32.705079,15.998377,0.009842,"Top Layer",,,
SENSOR5,32.679488,16.17311,32.705079,16.17311,0.009842,"Top Layer",,,
3V3,32.626084,16.106215,32.626084,16.170887,0.011811,"Top Layer",,,
3V3,32.626084,16.106215,32.63009,16.10221,0.011811,"Top Layer",,,
SENSOR6-IN,32.369962,16.282465,32.372659,16.285163,0.01,"Top Layer",,,
SENSOR6-IN,32.369962,16.107402,32.369962,16.282465,0.01,"Top Layer",,,
SENSOR1-IN,32.308928,16.103903,32.308928,16.285839,0.01,"Top Layer",,,
SENSOR1-IN,32.308788,16.285979,32.308928,16.285839,0.01,"Top Layer",,,
SENSOR4,31.963465,16.069977,32.520669,16.069977,0.009842,"Top Layer",,,
SENSOR7,32.062059,15.932181,32.144737,16.014859,0.009842,"Top Layer",,,
SENSOR6,32.05669,15.951866,32.137398,16.032575,0.009842,"Top Layer",,,
AUX1-OUT,32.550869,17.091223,32.586969,17.127322,0.009842,"Top Layer",,,
AUX1-OUT,32.142996,16.96,32.274219,17.091223,0.009842,"Top Layer",,,
AUX1-OUT,32.586969,17.127322,32.586969,17.175078,0.009842,"Top Layer",,,
AUX1-OUT,32.274219,17.091223,32.550869,17.091223,0.009842,"Top Layer",,,
AUX1-OUT,31.960512,16.96,32.142996,16.96,0.009842,"Top Layer",,,
3V3,32.035542,16.101103,32.035542,16.148717,0.011811,"Top Layer",,,
3V3,32.032835,17.037755,32.035542,17.035048,0.011811,"Top Layer",,,
3V3,32.035542,16.994972,32.035542,17.035048,0.011811,"Top Layer",,,
3V3,32.626084,16.170887,32.628307,16.17311,0.011811,"Top Layer",,,
